line_code,field_name,display_name,value
-,plan_year_begin,Plan Year Beginning Date,01/01/2024
-,plan_year_end,Plan Year Ending Date,12/31/2024
A,plan_type,Plan Type,Single-employer
B,is_first_return,First Return/Report,True
B,is_final_return,Final Return/Report,True
B,is_amended_return,Amended Return/Report,True
B,is_short_plan_year,Short Plan Year,True
C,filing_extension,Filing Extension Type,Form 5558
D,collectively_bargained,Collectively-Bargained Plan,
E,multiemployer_plan,Multiemployer Plan,
F,master_trust,Part of Master Trust,
G,common_collective_trust,CCT/Pooled Separate Account,
H,dfe_investment,Direct Filing Entity Investment,
I,secure_act_retroactive,SECURE Act Section 201 Retroactive Plan,
1a,plan_name,Name of Plan,"1 SOURCE BUSINESS SOLUTIONS 401(K) PLAN

1b Three-digit plan
number"
1b,plan_number,Three-Digit Plan Number (PN),333
1c,effective_date,Effective Date of Plan,01/01/2013
2a,sponsor_name,Plan Sponsor Name,Date Enter name of individual signing as employer or plan sponsor
2b,ein,Employer Identification Number (EIN),27-3793520
2c,sponsor_phone,Sponsor Telephone Number,801-352-2333
2d,business_code,Business Code (NAICS),813000
2e,sponsor_address,Sponsor Street Address,(include room
2e,sponsor_city,Sponsor City,"S COMMERCE PARK DRIVE
MIDVALE"
2e,sponsor_state,Sponsor State,UT
2e,sponsor_zip,Sponsor ZIP Code,84047
2e,sponsor_country,Sponsor Country (if foreign),
3a,admin_same_as_sponsor,Administrator Same as Sponsor,True
3a,admin_name,Administrator Name,
3b,admin_ein,Administrator EIN,
3c,admin_phone,Administrator Telephone Number,
3d,admin_address,Administrator Address,
4a,prior_sponsor_name,Prior Sponsor Name (if changed),
4b,prior_ein,Prior EIN (if changed),
4c,prior_plan_name,Prior Plan Name (if changed),
4d,prior_plan_number,Prior Plan Number (if changed),
5,total_participants_boy,Total Participants at Beginning of Year,30
6,total_participants_eoy,Total Participants at End of Year,16
7a,active_participants,Active Participants,
7b,retired_separated_participants,Retired/Separated Participants Receiving Benefits,
7c,other_participants,"Other Participants (Separated, entitled to future benefits)",
7d,deceased_participants,Deceased Participants with Beneficiaries,
7e,total_all_categories,Total All Categories (7a+7b+7c+7d),
8a,plan_type_code,Type of Plan (Pension/Welfare),
8b,pension_plan_type,Pension Plan Type (DB/DC),
8c,pension_feature_codes,Pension Feature Codes,"2E, 2F, 2K, 2T, 3D, 2B"
8d,welfare_plan_types,Welfare Benefit Types,
9a,funding_arrangement,Funding Arrangement,
9b,benefit_arrangement,Benefit Arrangement,
10,schedule_attachments,Attached Schedules,
11a,iqpa_name,IQPA Name,
11b,iqpa_ein,IQPA EIN,
11c,iqpa_phone,IQPA Telephone,
12a,actuary_name,Enrolled Actuary Name,
12b,actuary_number,Enrolled Actuary Number,
H-1a(1)(a),noninterest_cash_boy,Non-interest Bearing Cash (BOY),
H-1a(1)(b),noninterest_cash_eoy,Non-interest Bearing Cash (EOY),
H-1b(1)(a),employer_securities_boy,Employer Securities (BOY),
H-1b(1)(b),employer_securities_eoy,Employer Securities (EOY),
H-1b(2)(a),employer_real_property_boy,Employer Real Property (BOY),
H-1b(2)(b),employer_real_property_eoy,Employer Real Property (EOY),
H-1c(1)(a),interest_bearing_cash_boy,Interest-Bearing Cash (BOY),
H-1c(1)(b),interest_bearing_cash_eoy,Interest-Bearing Cash (EOY),
H-1c(2)(a),us_govt_securities_boy,US Government Securities (BOY),
H-1c(2)(b),us_govt_securities_eoy,US Government Securities (EOY),
H-1c(3)(a),corporate_debt_boy,Corporate Debt Instruments (BOY),
H-1c(3)(b),corporate_debt_eoy,Corporate Debt Instruments (EOY),
H-1c(4)(a),corporate_stock_boy,Corporate Stock (BOY),
H-1c(4)(b),corporate_stock_eoy,Corporate Stock (EOY),
